Secondary study DOI,Primary study Scopus EID,Primary study DOI,Title,Abstract,Keywords,Publication venue,Publication date,Publication type,Authors,Ground truth,Reason
10.1016/j.infsof.2022.107128,2-s2.0-30344485154,10.1109/TSE.2005.112,Empirical validation of object-oriented metrics on open source software for fault prediction,"Open source software systems are becoming increasingly important these days. Many companies are investing in open source projects and lots of them are also using such software in their own work. But, because open source software is often developed with a different management style than the industrial ones, the quality and reliability of the code needs to be studied. Hence, the characteristics of the source code of these projects need to be measured to obtain more information about it. This paper describes how we calculated the object-oriented metrics given by Chidamber and Kemerer to illustrate how fault-proneness detection of the source code of the open source Web and e-mail suite called Mozilla can be carried out. We checked the values obtained against the number of bugs found in its bug database - called Bugzilla - using regression and machine learning methods to validate the usefulness of these metrics for fault-proneness prediction. We also compared the metrics of several versions of Mozilla to see how the predicted fault-proneness of the software system changed during its development cycle. © 2005 IEEE.",Bugzilla | C++ | Columbus | Compiler wrapping | Fact extraction | Fault-proneness detection | Metrics validation | Mozilla | Open source software | Reverse engineering,IEEE Transactions on Software Engineering,2005-10-01,Article,"Gyimóthy, Tibor;Ferenc, Rudolf;Siket, István",Include,
10.1016/j.infsof.2022.107128,2-s2.0-85073921700,10.1109/TSE.2007.70773,Classifying software changes: Clean or buggy?,"This paper introduces a new technique for finding latent software bugs called change classification. Change classification uses a machine learning classifier to determine whether a new software change is more similar to prior buggy changes, or clean changes. In this manner, change classification predicts the existence of bugs in software changes. The classifier is trained using features (in the machine learning sense) extracted from the revision history of a software project, as stored in its software configuration management repository. The trained classifier can classify changes as buggy or clean with 78 percent accuracy and 65 percent buggy change recall (on average). Change classification has several desirable qualities: (1) the prediction granularity is small (a change to a single file), (2) predictions do not require semantic information about the source code, (3) the technique works for a broad array of project types and programming languages, and (4) predictions can be made immediately upon completion of a change. Contributions of the paper include a description of the change classification approach, techniques for extracting features from source code and change histories, a characterization of the performance of change classification across 12 open source projects, and evaluation of the predictive power of different groups of features. © 2008 IEEE.",interactive machine learning | novelty cases prediction | teaching case building | uncertainty sampling,Computer Applications in Engineering Education,2019-11-01,Article,"Wu, Xiaoxue;Zheng, Wei;Mu, Dejun;Li, Ning",Include,
10.1016/j.infsof.2022.107128,2-s2.0-85016594110,10.1016/j.jss.2007.07.040,Predicting defect-prone software modules using support vector machines,"Effective prediction of defect-prone software modules can enable software developers to focus quality assurance activities and allocate effort and resources more efficiently. Support vector machines (SVM) have been successfully applied for solving both classification and regression problems in many applications. This paper evaluates the capability of SVM in predicting defect-prone software modules and compares its prediction performance against eight statistical and machine learning models in the context of four NASA datasets. The results indicate that the prediction performance of SVM is generally better than, or at least, is competitive against the compared models. © 2007 Elsevier Inc. All rights reserved.",cochanged types | coupling rules | discriminative feature | relevance of code changes,Journal of Software: Evolution and Process,2017-07-01,Article,"Huang, Yuan;Chen, Xiangping;Liu, Zhiyong;Luo, Xiaonan;Zheng, Zibin",Include,
10.1016/j.infsof.2022.107128,2-s2.0-85071235277,10.1145/2884781.2884804,Automatically learning semantic features for defect prediction,"Software defect prediction, which predicts defective code regions, can help developers find bugs and prioritize their testing efforts. To build accurate prediction models, previous studies focus on manually designing features that encode the characteristics of programs and exploring different machine learning algorithms. Existing traditional features often fail to capture the semantic differences of programs, and such a capability is needed for building accurate prediction models. To bridge the gap between programs' semantics and defect prediction features, this paper proposes to leverage a powerful representation-learning algorithm, deep learning, to learn semantic representation of programs automatically from source code. Specifically, we leverage Deep Belief Network (DBN) to automatically learn semantic features from token vectors extracted from programs' Abstract Syntax Trees (ASTs). Our evaluation on ten open source projects shows that our automatically learned semantic features significantly improve both within-project defect prediction (WPDP) and cross-project defect prediction (CPDP) compared to traditional features. Our semantic features improve WPDP on average by 14.7% in precision, 11.5% in recall, and 14.2% in F1. For CPDP, our semantic features based approach outperforms the state-of-the-art technique TCA+ with traditional features by 8.9% in F1. © 2016 ACM.",change prediction | change risk | influential change | software changes | software evolution,Journal of Software: Evolution and Process,2019-12-01,Article,"Li, Daoyuan;Li, Li;Kim, Dongsun;Bissyandé, Tegawendé F.;Lo, David;Le Traon, Yves",Include,
10.1016/j.infsof.2022.107128,2-s2.0-85076089201,10.1016/j.jss.2009.06.055,A systematic and comprehensive investigation of methods to build and evaluate fault prediction models,"This paper describes a study performed in an industrial setting that attempts to build predictive models to identify parts of a Java system with a high fault probability. The system under consideration is constantly evolving as several releases a year are shipped to customers. Developers usually have limited resources for their testing and would like to devote extra resources to faulty system parts. The main research focus of this paper is to systematically assess three aspects on how to build and evaluate fault-proneness models in the context of this large Java legacy system development project: (1) compare many data mining and machine learning techniques to build fault-proneness models, (2) assess the impact of using different metric sets such as source code structural measures and change/fault history (process measures), and (3) compare several alternative ways of assessing the performance of the models, in terms of (i) confusion matrix criteria such as accuracy and precision/recall, (ii) ranking ability, using the receiver operating characteristic area (ROC), and (iii) our proposed cost-effectiveness measure (CE). The results of the study indicate that the choice of fault-proneness modeling technique has limited impact on the resulting classification accuracy or cost-effectiveness. There is however large differences between the individual metric sets in terms of cost-effectiveness, and although the process measures are among the most expensive ones to collect, including them as candidate measures significantly improves the prediction models compared with models that only include structural measures and/or their deltas between releases - both in terms of ROC area and in terms of CE. Further, we observe that what is considered the best model is highly dependent on the criteria that are used to evaluate and compare the models. And the regular confusion matrix criteria, although popular, are not clearly related to the problem at hand, namely the cost-effectiveness of using fault-proneness prediction models to focus verification efforts to deliver software with less faults at less cost. © 2009 Elsevier Inc. All rights reserved.",equivalent mutants | machine learning | mutation testing | program semantics | static analysis,Journal of Software: Evolution and Process,2020-05-01,Article,"Naeem, Muhammad Rashid;Lin, Tao;Naeem, Hamad;Liu, Hailu",Include,
10.1016/j.infsof.2022.107128,2-s2.0-84855652194,10.1016/j.infsof.2011.09.007,Transfer learning for cross-company software defect prediction,"Context: Software defect prediction studies usually built models using within-company data, but very few focused on the prediction models trained with cross-company data. It is difficult to employ these models which are built on the within-company data in practice, because of the lack of these local data repositories. Recently, transfer learning has attracted more and more attention for building classifier in target domain using the data from related source domain. It is very useful in cases when distributions of training and test instances differ, but is it appropriate for cross-company software defect prediction? Objective: In this paper, we consider the cross-company defect prediction scenario where source and target data are drawn from different companies. In order to harness cross company data, we try to exploit the transfer learning method to build faster and highly effective prediction model. Method: Unlike the prior works selecting training data which are similar from the test data, we proposed a novel algorithm called Transfer Naive Bayes (TNB), by using the information of all the proper features in training data. Our solution estimates the distribution of the test data, and transfers cross-company data information into the weights of the training data. On these weighted data, the defect prediction model is built. Results: This article presents a theoretical analysis for the comparative methods, and shows the experiment results on the data sets from different organizations. It indicates that TNB is more accurate in terms of AUC (The area under the receiver operating characteristic curve), within less runtime than the state of the art methods. Conclusion: It is concluded that when there are too few local training data to train good classifiers, the useful knowledge from different-distribution training data on feature level may help. We are optimistic that our transfer learning method can guide optimal resource allocation strategies, which may reduce software testing cost and increase effectiveness of software testing process. © 2011 Elsevier B.V. All rights reserved.",Different distribution | Machine learning | Naive Bayes | Software defect prediction | Transfer learning,Information and Software Technology,2012-03-01,Article,"Ma, Ying;Luo, Guangchun;Zeng, Xue;Chen, Aiguo",Include,
10.1016/j.infsof.2022.107128,2-s2.0-33947174112,10.1109/TSE.2006.102,Empirical analysis of object-oriented design metrics for predicting high and low severity faults,"In the last decade, empirical studies on object-oriented design metrics have shown some of them to be useful for predicting the fault-proneness of classes in object-oriented software systems. This research did not, however, distinguish among faults according to the severity of impact. It would be valuable to know how object-oriented design metrics and class fault-proneness are related when fault severity is taken into account. In this paper, we use logistic regression and machine learning methods to empirically investigate the usefulness of object-oriented design metrics, specifically, a subset of the Chidamber and Kemerer suite, in predicting fault-proneness when taking fault severity into account. Our results, based on a public domain NASA data set, indicate that 1) most of these design metrics are statistically related to fault-proneness of classes across fault severity, and 2) the prediction capabilities of the investigated metrics greatly depend on the severity of faults. More specifically, these design metrics are able to predict low severity faults in fault-prone classes better than high severity faults in fault-prone classes. © 2006 IEEE.",Cross validation | Fault-proneness | Faults | Metrics | Object-oriented | Prediction,IEEE Transactions on Software Engineering,2006-10-01,Article,"Zhou, Yuming;Leung, Hareton",Include,
10.1016/j.infsof.2022.107128,2-s2.0-79957799751,10.1109/TSE.2010.90,A general software defect-proneness prediction framework,"BACKGROUND-Predicting defect-prone software components is an economically important activity and so has received a good deal of attention. However, making sense of the many, and sometimes seemingly inconsistent, results is difficult. OBJECTIVE-We propose and evaluate a general framework for software defect prediction that supports 1) unbiased and 2) comprehensive comparison between competing prediction systems. METHOD-The framework is comprised of 1) scheme evaluation and 2) defect prediction components. The scheme evaluation analyzes the prediction performance of competing learning schemes for given historical data sets. The defect predictor builds models according to the evaluated learning scheme and predicts software defects with new data according to the constructed model. In order to demonstrate the performance of the proposed framework, we use both simulation and publicly available software defect data sets. RESULTS-The results show that we should choose different learning schemes for different data sets (i.e., no scheme dominates), that small details in conducting how evaluations are conducted can completely reverse findings, and last, that our proposed framework is more effective and less prone to bias than previous approaches. CONCLUSIONS-Failure to properly or fully evaluate a learning scheme can be misleading; however, these problems may be overcome by our proposed framework. © 2011 IEEE Published by the IEEE Computer Society.",Machine learning | Scheme evaluation | Software defect prediction | Software defect-proneness prediction,IEEE Transactions on Software Engineering,2011-05-03,Article,"Song, Qinbao;Jia, Zihan;Shepperd, Martin;Ying, Shi;Liu, Jin",Include,
10.1016/j.infsof.2022.107128,2-s2.0-84856676371,10.1007/s10515-011-0090-3,An investigation on the feasibility of cross-project defect prediction,"Software defect prediction helps to optimize testing resources allocation by identifying defect-prone modules prior to testing. Most existing models build their prediction capability based on a set of historical data, presumably from the same or similar project settings as those under prediction. However, such historical data is not always available in practice. One potential way of predicting defects in projects without historical data is to learn predictors from data of other projects. This paper investigates defect predictions in the cross-project context focusing on the selection of training data. We conduct three large-scale experiments on 34 data sets obtained from 10 open source projects. Major conclusions from our experiments include: (1) in the best cases, training data from other projects can provide better prediction results than training data from the same project; (2) the prediction results obtained using training data from other projects meet our criteria for acceptance on the average level, defects in 18 out of 34 cases were predicted at a Recall greater than 70% and a Precision greater than 50%; (3) results of cross-project defect predictions are related with the distributional characteristics of data sets which are valuable for training data selection. We further propose an approach to automatically select suitable training data for projects without historical data. Prediction results provided by the training data selected by using our approach are comparable with those provided by training data from the same project. © 2011 Springer Science+Business Media, LLC.",Cross-project | Data characteristics | Defect prediction | Machine learning | Training data,Automated Software Engineering,2012-06-01,Article,"He, Zhimin;Shu, Fengdi;Yang, Ye;Li, Mingshu;Wang, Qing",Include,
10.1016/j.infsof.2022.107128,2-s2.0-59149091560,10.1016/j.ins.2008.12.001,"Investigating the effect of dataset size, metrics sets, and feature selection techniques on software fault prediction problem","Software quality engineering comprises of several quality assurance activities such as testing, formal verification, inspection, fault tolerance, and software fault prediction. Until now, many researchers developed and validated several fault prediction models by using machine learning and statistical techniques. There have been used different kinds of software metrics and diverse feature reduction techniques in order to improve the models' performance. However, these studies did not investigate the effect of dataset size, metrics set, and feature selection techniques for software fault prediction. This study is focused on the high-performance fault predictors based on machine learning such as Random Forests and the algorithms based on a new computational intelligence approach called Artificial Immune Systems. We used public NASA datasets from the PROMISE repository to make our predictive models repeatable, refutable, and verifiable. The research questions were based on the effects of dataset size, metrics set, and feature selection techniques. In order to answer these questions, there were defined seven test groups. Additionally, nine classifiers were examined for each of the five public NASA datasets. According to this study, Random Forests provides the best prediction performance for large datasets and Naive Bayes is the best prediction algorithm for small datasets in terms of the Area Under Receiver Operating Characteristics Curve (AUC) evaluation parameter. The parallel implementation of Artificial Immune Recognition Systems (AIRS2Parallel) algorithm is the best Artificial Immune Systems paradigm-based algorithm when the method-level metrics are used. © 2008 Elsevier Inc. All rights reserved.",Artificial Immune Systems | J48 | Machine learning | Naive Bayes | Random Forests | Software fault prediction,Information Sciences,2009-03-29,Article,"Catal, Cagatay;Diri, Banu",Include,
