Title,Authors,Venue,Year,Library,I1,I2,I3,I4,I5,I6,E1,E2,E3,E4,Included,Ground truth,Reason,Publication type,Publication venue,Publication date,Primary study DOI,Primary study Scopus EID,Keywords,Abstract
Internet-Based Self-Services: From Analysis and Design to Deployment,"Cardoso, Jorge;Miller, John A.",Proceedings of the 2012 IEEE First International Conference on Services Economics,2012,ACM,NN,NN,NN,NN,NN,0,NN,NN,NN,NN,NO,Exclude,,cp,"Proceedings - 2012 IEEE 1st International Conference on Services Economics, SE 2012",2012-10-01,10.1109/SE.2012.8,2-s2.0-84866659574,EA | MDD | MVC | PaaS | Self-services | Service architecture | Service design | Service engineering,"Many worldwide economies have moved away from manufacturing and became service-oriented. As a consequence, research on Internet-based Self-Services (ISS) will foster the uptake of service exports and trading since they can replace many face-to-face interactions and make service transactions more accurate, convenient and faster. Currently, ISS are poorly supported since they are created using generic software techniques and development methods. Systematic methods are needed and must go beyond service design, a well established research area, to account also for service analysis, implementation, and deployment. In this paper, we explore a systematic development approach, called SEASIDE, based on four scientific advances: enterprise architectures (EA), model-driven developments (MDD), model-view-controller pattern (MVC), and platform as a service (PaaS). By selecting the Incident Management service from the Information Technology Infrastructure Library, we have evaluated our approach. Our research indicates that the proposed method enables to focus on the business and design side of services, and reduce development time and costs. © 2012 IEEE."
Machine' consciousness and 'artificial' thought: An operational architectonics model guided approach,"Fingelkurts, Andrew A.;Fingelkurts, Alexander A.;Neves, Carlos F.H.",Brain Research,2012,WOS,0,0,0,NN,NN,NN,NN,NN,NN,NN,NO,Exclude,,re,Brain Research,2012-01-05,10.1016/j.brainres.2010.11.079,2-s2.0-84855871474,Artificial mind | Brain architecture | Conscious operation | EEG | Many-body field dynamics | Metastability | Operational architectonics | Robot,"Instead of using low-level neurophysiology mimicking and exploratory programming methods commonly used in the machine consciousness field, the hierarchical operational architectonics (OA) framework of brain and mind functioning proposes an alternative conceptual-theoretical framework as a new direction in the area of model-driven machine (robot) consciousness engineering. The unified brain-mind theoretical OA model explicitly captures (though in an informal way) the basic essence of brain functional architecture, which indeed constitutes a theory of consciousness. The OA describes the neurophysiological basis of the phenomenal level of brain organization. In this context the problem of producing man-made ""machine"" consciousness and ""artificial"" thought is a matter of duplicating all levels of the operational architectonics hierarchy (with its inherent rules and mechanisms) found in the brain electromagnetic field. We hope that the conceptual- theoretical framework described in this paper will stimulate the interest of mathematicians and/or computer scientists to abstract and formalize principles of hierarchy of brain operations which are the building blocks for phenomenal consciousness and thought. © 2010 Elsevier B.V. All rights reserved."
Little helper - An autonomous industrial mobile manipulator concept,"Hvilshøj, Mads;Bøgh, Simon",International Journal of Advanced Robotic Systems,2011,Scopus,0,NN,NN,NN,NN,NN,NN,NN,NN,NN,NO,Exclude,,ar,International Journal of Advanced Robotic Systems,2011-01-01,10.5772/10579,2-s2.0-79958742236,Autonomous industrial mobile manipulation (AIMM) | Flexible automation | Industrial robotics,"This paper presents the concept ""autonomous industrial mobile manipulation"" (AIMM) based on the mobile manipulator ""Little Helper"" - An ongoing research project at Aalborg University, Denmark, concerning the development of an autonomous and flexible manufacturing assistant. The paper focuses on the contextual aspects and the working principles of AIMM. Furthermore, the paper deals with the design principles and overall hardware and software architectures of ""Little Helper"" from a functional and modular mechatronics point of view, in order to create a generic AIMM platform. The design challenges faced in the project is to integrate commercial off-the-shelf (COTS) and dedicated highly integrated systems into an autonomous mobile manipulator system with the ability to perform diverse tasks in industrial environments. We propose an action based domain specific communication language for AIMM for routine and task definition, in order to lower the entry barriers for the users of the technology. To demonstrate the ""Little Helper"" concept a full-scale prototype has been built and different application examples carried out. Experiences and knowledge gained from this show promising results regarding industrial integration, exploitation and maturation of the AIMM technology."
“Machine” consciousness and “artificial” thought: An operational architectonics model guided approach,"Fingelkurts, Andrew A.;Fingelkurts, Alexander A.;Neves, Carlos F.H.",Brain Research,2012,ScienceDirect,0,0,0,NN,NN,NN,NN,NN,NN,NN,NO,Exclude,,re,Brain Research,2012-01-05,10.1016/j.brainres.2010.11.079,2-s2.0-84855871474,Artificial mind | Brain architecture | Conscious operation | EEG | Many-body field dynamics | Metastability | Operational architectonics | Robot,"Instead of using low-level neurophysiology mimicking and exploratory programming methods commonly used in the machine consciousness field, the hierarchical operational architectonics (OA) framework of brain and mind functioning proposes an alternative conceptual-theoretical framework as a new direction in the area of model-driven machine (robot) consciousness engineering. The unified brain-mind theoretical OA model explicitly captures (though in an informal way) the basic essence of brain functional architecture, which indeed constitutes a theory of consciousness. The OA describes the neurophysiological basis of the phenomenal level of brain organization. In this context the problem of producing man-made ""machine"" consciousness and ""artificial"" thought is a matter of duplicating all levels of the operational architectonics hierarchy (with its inherent rules and mechanisms) found in the brain electromagnetic field. We hope that the conceptual- theoretical framework described in this paper will stimulate the interest of mathematicians and/or computer scientists to abstract and formalize principles of hierarchy of brain operations which are the building blocks for phenomenal consciousness and thought. © 2010 Elsevier B.V. All rights reserved."
"(K, R, R)-anonymity: A Light-weight and Personalized Location Protection Model for LBS Query","Feng, Yunxia;Li, Xu;Song, Bo",ACM TUR-C '17,2017,ACM,0,NN,NN,NN,NN,NN,NN,NN,NN,NN,NO,Exclude,,cp,ACM International Conference Proceeding Series,2017-05-12,10.1145/3063955.3063984,2-s2.0-85021235522,LBS | Light-weight | Location privacy | Personalized | Query anonymity,"© 2017 ACM.This paper studies the problem of location and query content preserving in location based service (LBS) systems. Based on the private information retrieval (PIR) theory and location k-anonymity model, we propose a new privacy preserving model, called (k, R, r)-anonymity, which is a light-weight and personalized resolution that can be implemented on mobile terminals. Main idea of the proposed model is to replace the user's real location and the query target by a specific area and a set of location types, respectively. A user may control his privacy preserving degree according to his specific demand by dynamically adjusting parameters of the proposed model, such as query contents, the size and location of the anonymous region, etc. Taking the nearest neighbor query as example, we evaluate performance of the proposed model and make a brief comparison with k-anonymity and PIR. Results show that the proposed model provides stronger anonymity protection than k-anonymity, whereas it its simpler and induces less additional overheads than PIR. In addition, it does not need a third-party privacy anonymity server either."
(WIP) IoT Context Descriptor: Situation Detection and Action Invocation Model for Real-Time High-Volume Transactions,"Abe, Mari;Yamamoto, Gaku;Furuichi, Sanehiro",2018 IEEE International Congress on Internet of Things (ICIOT),2018,IEEE,0,NN,NN,NN,NN,NN,NN,NN,NN,NN,NO,Exclude,,cp,"Proceedings - 2018 IEEE International Congress on Internet of Things, ICIOT 2018 - Part of the 2018 IEEE World Congress on Services",2018-09-26,10.1109/ICIOT.2018.00025,2-s2.0-85055655373,Connected vehicles | Internet of things (IoT) | Model-driven development | Multi-agent system,"© 2018 IEEE.In our previous work, a runtime-specific rule was introduced that described how to detect situations and invoke actions of connected vehicles in the surrounding context. However, rule developers were required to check carefully whether each rule was consistent to the other rules or not. Our next challenge is how to simplify the validation of the application logics when the number of rules is increasing. In this paper, we propose IoT Context Descriptor, a context model for situation detection and action invocation for IoT that is aiming at accelerating easy development of situation detection and action invocation while securing the processing of real-time high-volume transactions."
(WIP) IoT context descriptor: Situation detection and action invocation model for real-time high-volume transactions,"Abe, Mari;Yamamoto, Gaku;Furuichi, Sanehiro","Proceedings - 2018 IEEE International Congress on Internet of Things, ICIOT 2018 - Part of the 2018 IEEE World Congress on Services",2018,SCOPUS,0,NN,NN,NN,NN,NN,NN,NN,NN,NN,NO,Exclude,,cp,"Proceedings - 2018 IEEE International Congress on Internet of Things, ICIOT 2018 - Part of the 2018 IEEE World Congress on Services",2018-09-26,10.1109/ICIOT.2018.00025,2-s2.0-85055655373,Connected vehicles | Internet of things (IoT) | Model-driven development | Multi-agent system,"© 2018 IEEE.In our previous work, a runtime-specific rule was introduced that described how to detect situations and invoke actions of connected vehicles in the surrounding context. However, rule developers were required to check carefully whether each rule was consistent to the other rules or not. Our next challenge is how to simplify the validation of the application logics when the number of rules is increasing. In this paper, we propose IoT Context Descriptor, a context model for situation detection and action invocation for IoT that is aiming at accelerating easy development of situation detection and action invocation while securing the processing of real-time high-volume transactions."
"Hierarchical Control Structures for Hybrid Vehicles-modelling, Simulation, and Optimization.","Schlüter, F., and P. Wältermann.","Advances in Automotive Control 1995. Pergamon, 1995.",1995,ScienceDirect,NN,NN,NN,NN,NN,NN,NN,NN,NN,1,NO,Exclude,,,,,,,,
3-DOF planar parallel-wire driven robot with an active balancer and its model-based adaptive control,"Kino, H.;Yoshitake, T.;Wada, R.;Tahara, K.;Tsuda, K.",ADVANCED ROBOTICS,2018,WOS,0,NN,NN,NN,NN,NN,NN,NN,NN,NN,NO,Exclude,,ar,Advanced Robotics,2018-07-18,10.1080/01691864.2018.1493397,2-s2.0-85049619802,Cable-driven | CDPR | dynamics | motion control | under-actuated system,"© 2018, © 2018 Taylor & Francis and The Robotics Society of Japan.This paper has proposed a parallel-wire driven robot (PWDR) with an active balancer, which is notably useful for such applications as ceiling maintenance and object conveyance near a ceiling in a factory. Because this robot is an under-actuated system, the uncertainty of the inertial parameters of the load strongly affects the resultant motion and reduces the control accuracy because of the dynamics interference. However, to date, the dynamics of this robot has not been thoroughly elucidated. Thus, this study analyzes the dynamics of a PWDR that controls three degree-of-freedom using two wires and an active balancer. Moreover, based on the dynamic analysis, a model-based adaptive controller for the parameter uncertainty of a load is proposed, and its effectiveness is demonstrated through simulation."
3D Through-wall Imaging with Unmanned Aerial Vehicles Using Wifi,"Karanam, Chitra R.;Mostofi, Yasamin",IPSN '17,2017,ACM,0,NN,NN,NN,NN,NN,NN,NN,NN,NN,NO,Exclude,,cp,"Proceedings - 2017 16th ACM/IEEE International Conference on Information Processing in Sensor Networks, IPSN 2017",2017-04-18,10.1145/3055031.3055084,2-s2.0-85019025857,3D imaging | RF sensing | Through-Wall imaging | Unmanned aerial vehicles | WiFi,"© 2017 ACM.In this paper, we are interested in the 3D through-wall imaging of a completely unknown area, using WiFi RSSI and Unmanned Aerial Vehicles (UAVs) that move outside of the area of interest to collect WiFi measurements. It is challenging to estimate a volume represented by an extremely high number of voxels with a small number of measurements. Yet many applications are time-critical and/or limited on resources, precluding extensive measurement collection. In this paper, we then propose an approach based on Markov random field modeling, loopy belief propagation, and sparse signal processing for 3D imaging based on wireless power measurements. Furthermore, we show how to design efficient aerial routes that are informative for 3D imaging. Finally, we design and implement a complete experimental testbed and show high-quality 3D robotic through-wall imaging of unknown areas with less than 4% of measurements."
